Datetime;Area of dayzone / m2;Area of nightzone / m2;Q heating system building / W;TSensor of dayzone / K;TSensor of nightzone / K
3676800;64.0;64.0;0.0;289.702606201;289.78793335
3677400;64.0;64.0;0.0;289.687408447;289.759765625
3678000;64.0;64.0;0.0;289.672210693;289.731384277
3678600;64.0;64.0;0.0;289.656860352;289.702575684
3679200;64.0;64.0;0.0;289.641174316;289.673217773
3679800;64.0;64.0;0.0;289.625;289.643096924
3680400;64.0;64.0;0.0;289.608154297;289.611999512
3681000;64.0;64.0;0.0;289.590454102;289.579742432
3681600;64.0;64.0;0.0;289.571716309;289.546112061
3682200;64.0;64.0;0.0;289.55178833;289.510803223
3682800;64.0;64.0;0.0;289.530548096;289.473754883
3683400;64.0;64.0;0.0;289.507965088;289.434844971
3684000;64.0;64.0;0.0;289.484069824;289.394134521
3684600;64.0;64.0;0.0;289.459075928;289.351898193
3685200;64.0;64.0;0.0;289.433074951;289.308227539
3685800;64.0;64.0;0.0;289.406036377;289.263122559
3686400;64.0;64.0;0.0;289.378112793;289.216674805
3687000;64.0;64.0;0.0;289.34954834;289.169250488
3687600;64.0;64.0;351.711242676;289.320556641;289.14743042
3688200;64.0;64.0;477.109710693;289.291503906;289.146514893
3688800;64.0;64.0;589.42175293;289.262878418;289.145690918
3689400;64.0;64.0;691.394165039;289.234893799;289.144927979
3690000;64.0;64.0;10065.1328125;289.207824707;289.144256592
3690600;64.0;64.0;19347.2792969;290.569091797;290.416320801
3691200;64.0;64.0;15211.6621094;291.390136719;291.107513428
3691800;64.0;64.0;14891.1484375;291.856140137;291.109832764
3692400;64.0;64.0;14688.7001953;292.13571167;291.111328125
3693000;64.0;64.0;14535.0693359;292.322021484;291.112457275
3693600;64.0;64.0;14415.3125;292.46081543;291.113342285
3694200;64.0;64.0;14320.1152344;292.574127197;291.114044189
3694800;64.0;64.0;14242.515625;292.672698975;291.114593506
3695400;64.0;64.0;14178.1396484;292.762145996;291.115081787
3696000;64.0;64.0;14123.8828125;292.845336914;291.115478516
3696600;64.0;64.0;14077.5019531;292.92401123;291.115814209
3697200;64.0;64.0;14037.3789062;292.999206543;291.116088867
3697800;64.0;64.0;14002.4912109;293.071594238;291.116363525
3698400;64.0;64.0;13972.2236328;293.141662598;291.116577148
3699000;64.0;64.0;13945.9208984;293.209686279;291.116760254
3699600;64.0;64.0;13922.9296875;293.275939941;291.116943359
3700200;64.0;64.0;13902.5683594;293.340698242;291.117095947
3700800;64.0;64.0;13884.1708984;293.40423584;291.117218018
3701400;64.0;64.0;13869.1367188;293.466522217;291.117340088
3702000;64.0;64.0;13859.3759766;293.527282715;291.117401123
3702600;64.0;64.0;13852.9453125;293.586242676;291.117462158
3703200;64.0;64.0;13847.203125;293.643676758;291.117492676
3703800;64.0;64.0;13839.8134766;293.700042725;291.117553711
3704400;64.0;64.0;13830.8037109;293.755889893;291.117614746
3705000;64.0;64.0;13819.3945312;293.81149292;291.117706299
3705600;64.0;64.0;13806.2402344;293.867156982;291.117797852
3706200;64.0;64.0;13792.328125;293.922851562;291.117889404
3706800;64.0;64.0;13778.2958984;293.978515625;291.118011475
3707400;64.0;64.0;13764.7509766;294.034088135;291.118103027
3708000;64.0;64.0;11678.5302734;294.083465576;291.11819458
3708600;64.0;64.0;9935.66113281;292.864990234;291.896972656
3709200;64.0;64.0;9935.66113281;292.205566406;292.370483398
3709800;64.0;64.0;9935.66113281;291.788635254;292.677185059
3710400;64.0;64.0;9935.66113281;291.483032227;292.892913818
3711000;64.0;64.0;9935.66113281;291.251495361;293.057891846
3711600;64.0;64.0;9921.82617188;291.142181396;293.085113525
3712200;64.0;64.0;9781.87011719;291.141235352;293.087097168
3712800;64.0;64.0;9654.97265625;291.14050293;293.088745117
3713400;64.0;64.0;9543.79394531;291.139892578;293.090179443
3714000;64.0;64.0;9444.82324219;291.139343262;293.091430664
3714600;64.0;64.0;9355.10742188;291.138885498;293.092559814
3715200;64.0;64.0;9272.49023438;291.13848877;293.093566895
3715800;64.0;64.0;9195.85449219;291.138092041;293.094512939
3716400;64.0;64.0;9124.65527344;291.137756348;293.095367432
3717000;64.0;64.0;9057.71386719;291.137451172;293.096160889
3717600;64.0;64.0;8995.25585938;291.137176514;293.096893311
3718200;64.0;64.0;8937.78125;291.136901855;293.097625732
3718800;64.0;64.0;8883.67871094;291.136627197;293.098266602
3719400;64.0;64.0;8831.37792969;291.136352539;293.098907471
3720000;64.0;64.0;8780.61132812;291.136138916;293.099517822
3720600;64.0;64.0;8731.27050781;291.135894775;293.100128174
3721200;64.0;64.0;8683.33398438;291.135681152;293.10067749
3721800;64.0;64.0;8636.79492188;291.135498047;293.101226807
3722400;64.0;64.0;8592.00585938;291.135284424;293.101745605
3723000;64.0;64.0;8548.90722656;291.135101318;293.102233887
3723600;64.0;64.0;8506.26953125;291.13494873;293.102722168
3724200;64.0;64.0;8464.125;291.134796143;293.103179932
3724800;64.0;64.0;8427.30859375;291.134643555;293.103607178
3725400;64.0;64.0;8394.04785156;291.134460449;293.104034424
3726000;64.0;64.0;8363.29785156;291.134277344;293.104431152
3726600;64.0;64.0;8335.0390625;291.134094238;293.104827881
3727200;64.0;64.0;8309.59667969;291.133880615;293.105224609
3727800;64.0;64.0;8286.43261719;291.13369751;293.10559082
3728400;64.0;64.0;8264.99804688;291.133514404;293.105926514
3729000;64.0;64.0;8244.75878906;291.133331299;293.106262207
3729600;64.0;64.0;8225.20117188;291.133148193;293.1065979
3730200;64.0;64.0;8206.08105469;291.132965088;293.106903076
3730800;64.0;64.0;8187.60205078;291.132781982;293.107208252
3731400;64.0;64.0;8169.91601562;291.132598877;293.107513428
3732000;64.0;64.0;8152.88232422;291.132446289;293.107818604
3732600;64.0;64.0;8136.38476562;291.132263184;293.108093262
3733200;64.0;64.0;8120.33447266;291.132110596;293.10836792
3733800;64.0;64.0;8104.65527344;291.131958008;293.108642578
3734400;64.0;64.0;8089.30371094;291.13180542;293.108917236
3735000;64.0;64.0;8074.31201172;291.131652832;293.109191895
3735600;64.0;64.0;8059.73828125;291.131500244;293.109436035
3736200;64.0;64.0;8045.64550781;291.131378174;293.109680176
3736800;64.0;64.0;8032.09521484;291.131225586;293.109924316
3737400;64.0;64.0;8020.5078125;291.131072998;293.110137939
3738000;64.0;64.0;8012.30566406;291.13092041;293.110351562
3738600;64.0;64.0;8006.55273438;291.130767822;293.110534668
3739200;64.0;64.0;8001.12744141;291.130645752;293.110748291
3739800;64.0;64.0;7992.92480469;291.130493164;293.110931396
3740400;64.0;64.0;3989.52783203;291.130371094;293.11114502
3741000;64.0;64.0;0.0;290.8046875;292.365661621
3741600;64.0;64.0;0.0;290.5753479;291.879608154
3742200;64.0;64.0;0.0;290.413604736;291.524200439
3742800;64.0;64.0;0.0;290.302978516;291.271606445
3743400;64.0;64.0;0.0;290.235778809;291.103637695
3744000;64.0;64.0;0.0;290.209136963;291.006713867
3744600;64.0;64.0;0.0;290.2081604;290.956848145
3745200;64.0;64.0;0.0;290.227203369;290.941986084
3745800;64.0;64.0;0.0;290.251861572;290.942077637
3746400;64.0;64.0;0.0;290.276031494;290.946136475
3747000;64.0;64.0;0.0;290.298858643;290.951385498
3747600;64.0;64.0;0.0;290.314208984;290.949676514
3748200;64.0;64.0;0.0;290.326904297;290.946075439
3748800;64.0;64.0;0.0;290.338165283;290.942230225
3749400;64.0;64.0;0.0;290.3487854;290.939178467
3750000;64.0;64.0;0.0;290.359191895;290.937469482
3750600;64.0;64.0;0.0;290.369476318;290.937072754
3751200;64.0;64.0;0.0;290.379638672;290.937805176
3751800;64.0;64.0;0.0;290.389709473;290.939453125
3752400;64.0;64.0;0.0;290.400878906;290.942016602
3753000;64.0;64.0;0.0;290.408966064;290.944122314
3753600;64.0;64.0;0.0;290.417785645;290.946350098
3754200;64.0;64.0;0.0;290.42980957;290.947814941
3754800;64.0;64.0;0.0;290.433227539;290.947631836
3755400;64.0;64.0;0.0;290.437316895;290.94619751
3756000;64.0;64.0;0.0;290.441314697;290.940795898
3756600;64.0;64.0;0.0;290.442230225;290.936645508
3757200;64.0;64.0;0.0;290.4425354;290.929260254
3757800;64.0;64.0;0.0;290.441986084;290.92086792
3758400;64.0;64.0;0.0;290.441009521;290.911987305
3759000;64.0;64.0;0.0;290.440032959;290.903076172
3759600;64.0;64.0;0.0;290.43927002;290.89440918
3760200;64.0;64.0;0.0;290.438934326;290.886260986
3760800;64.0;64.0;0.0;290.438995361;290.878662109
3761400;64.0;64.0;0.0;290.439361572;290.871490479
3762000;64.0;64.0;0.0;290.440063477;290.864746094
3762600;64.0;64.0;0.0;290.442138672;290.85723877
3763200;64.0;64.0;0.0;290.443481445;290.853912354
3763800;64.0;64.0;0.0;290.445526123;290.849060059
3764400;64.0;64.0;0.0;290.447479248;290.844146729
3765000;64.0;64.0;0.0;290.450195312;290.835968018
3765600;64.0;64.0;0.0;290.45135498;290.831237793
3766200;64.0;64.0;0.0;290.452056885;290.827819824
3766800;64.0;64.0;0.0;290.452667236;290.821289062
3767400;64.0;64.0;0.0;290.452301025;290.813537598
3768000;64.0;64.0;0.0;290.450073242;290.803314209
3768600;64.0;64.0;0.0;290.443786621;290.787841797
3769200;64.0;64.0;0.0;290.432403564;290.765075684
3769800;64.0;64.0;0.0;290.414337158;290.732788086
3770400;64.0;64.0;0.0;290.392089844;290.693786621
3771000;64.0;64.0;0.0;290.367675781;290.650848389
3771600;64.0;64.0;0.0;290.342834473;290.606933594
3772200;64.0;64.0;0.0;290.3175354;290.56262207
3772800;64.0;64.0;0.0;290.291717529;290.517791748
3773400;64.0;64.0;0.0;290.259185791;290.461639404
3774000;64.0;64.0;0.0;290.237518311;290.424316406
3774600;64.0;64.0;0.0;290.213134766;290.382202148
3775200;64.0;64.0;0.0;290.180450439;290.325164795
3775800;64.0;64.0;0.0;290.162445068;290.293365479
3776400;64.0;64.0;16122.7324219;290.494873047;290.603790283
3777000;64.0;64.0;11661.25;291.802337646;291.133514404
3777600;64.0;64.0;11598.4394531;292.519561768;291.133972168
3778200;64.0;64.0;11587.8242188;292.735778809;291.134063721
3778800;64.0;64.0;11578.7744141;293.00592041;291.134124756
3779400;64.0;64.0;11577.4765625;293.188812256;291.134124756
3780000;64.0;64.0;11582.1533203;293.327514648;291.134094238
3780600;64.0;64.0;11591.71875;293.442474365;291.134033203
3781200;64.0;64.0;11604.9990234;293.543426514;291.13394165
3781800;64.0;64.0;11621.0712891;293.635498047;291.13381958
3782400;64.0;64.0;11639.1386719;293.721374512;291.133666992
3783000;64.0;64.0;11658.4951172;293.802642822;291.133544922
3783600;64.0;64.0;11678.4960938;293.880340576;291.133392334
3784200;64.0;64.0;11698.5820312;293.95526123;291.133239746
3784800;64.0;64.0;11718.5576172;294.027984619;291.133087158
3785400;64.0;64.0;11279.9091797;294.084381104;291.132965088
3786000;64.0;64.0;11029.9833984;294.086364746;291.1328125
3786600;64.0;64.0;10804.4658203;294.088165283;291.132659912
3787200;64.0;64.0;10599.8300781;294.089813232;291.132507324
3787800;64.0;64.0;10413.7900391;294.091339111;291.132354736
3788400;64.0;64.0;10243.6083984;294.09274292;291.132171631
3789000;64.0;64.0;10086.9707031;294.094085693;291.132019043
3789600;64.0;64.0;9941.78417969;294.095306396;291.131835938
3790200;64.0;64.0;9806.18359375;294.096466064;291.131652832
3790800;64.0;64.0;9678.46972656;294.097595215;291.131500244
3791400;64.0;64.0;9556.98144531;294.098632812;291.131317139
3792000;64.0;64.0;9440.61914062;294.099639893;291.131164551
3792600;64.0;64.0;9329.06933594;294.100616455;291.131011963
3793200;64.0;64.0;9222.39160156;294.101531982;291.130859375
3793800;64.0;64.0;9120.984375;294.10244751;291.130737305
3794400;64.0;64.0;9480.63671875;294.103271484;291.130584717
3795000;64.0;64.0;9935.66113281;293.195892334;292.149597168
3795600;64.0;64.0;9935.66113281;292.683929443;292.774749756
3796200;64.0;64.0;7788.36621094;292.349029541;293.092926025
3796800;64.0;64.0;7436.77783203;292.100646973;293.095489502
3797400;64.0;64.0;7170.92236328;291.910247803;293.097442627
3798000;64.0;64.0;6958.01513672;291.762420654;293.098999023
3798600;64.0;64.0;6782.87109375;291.645477295;293.100311279
3799200;64.0;64.0;6635.95556641;291.550567627;293.101379395
3799800;64.0;64.0;6510.57128906;291.471252441;293.102294922
3800400;64.0;64.0;6402.21777344;291.403106689;293.103088379
3801000;64.0;64.0;6308.08154297;291.342987061;293.103790283
3801600;64.0;64.0;6226.77001953;291.288543701;293.104370117
3802200;64.0;64.0;6156.85449219;291.238067627;293.104888916
3802800;64.0;64.0;6095.84326172;291.190490723;293.105316162
3803400;64.0;64.0;6290.60986328;291.148193359;293.105712891
3804000;64.0;64.0;6363.91015625;291.14730835;293.106079102
3804600;64.0;64.0;6414.98242188;291.146606445;293.106384277
3805200;64.0;64.0;6465.39257812;291.145965576;293.106658936
3805800;64.0;64.0;6518.05615234;291.145355225;293.106903076
3806400;64.0;64.0;6574.91210938;291.144714355;293.107086182
3807000;64.0;64.0;6634.13476562;291.144134521;293.107269287
3807600;64.0;64.0;6693.15917969;291.143554688;293.107391357
3808200;64.0;64.0;6748.88769531;291.143005371;293.107543945
3808800;64.0;64.0;6797.85009766;291.142486572;293.107696533
3809400;64.0;64.0;6842.78369141;291.142028809;293.107818604
