Time,AixLib_T_dayzone,AixLib_T_nightzone,AixLib_Heating_Power_W
20642400.0,296.68975830078125,296.251953125,0.0
20643000.0,296.6573181152344,296.21368408203125,0.0
20643600.0,296.6228332519531,296.1728820800781,0.0
20644200.0,296.58709716796875,296.1305236816406,0.0
20644800.0,296.5501708984375,296.0867004394531,0.0
20645400.0,296.51348876953125,296.0432434082031,0.0
20646000.0,296.4768371582031,295.9998779296875,0.0
20646600.0,296.4414978027344,295.9582824707031,0.0
20647200.0,296.40704345703125,295.9178161621094,0.0
20647800.0,296.3727111816406,295.87762451171875,0.0
20648400.0,296.33837890625,295.8374328613281,0.0
20649000.0,296.3031005859375,295.7961730957031,0.0
20649600.0,296.2677307128906,295.75482177734375,0.0
20650200.0,296.1392517089844,295.69049072265625,0.0
20650800.0,296.17657470703125,295.64923095703125,0.0
20651400.0,296.216064453125,295.6048889160156,0.0
20652000.0,296.2524719238281,295.5582580566406,0.0
20652600.0,296.2879333496094,295.511962890625,0.0
20653200.0,296.32623291015625,295.4699401855469,0.0
20653800.0,296.3196105957031,295.4337158203125,0.0
20654400.0,296.29351806640625,295.39959716796875,0.0
20655000.0,296.26708984375,295.3652038574219,0.0
20655600.0,296.24029541015625,295.33050537109375,0.0
20656200.0,296.2134704589844,295.2957763671875,0.0
20656800.0,296.1864318847656,295.2608642578125,0.0
20657400.0,296.159423828125,295.22601318359375,0.0
20658000.0,296.1325378417969,295.19134521484375,0.0
20658600.0,296.10565185546875,295.1567687988281,0.0
20659200.0,296.0787658691406,295.1221923828125,0.0
20659800.0,296.051513671875,295.08734130859375,0.0
20660400.0,296.0242614746094,295.0524597167969,0.0
20661000.0,295.99774169921875,295.0184020996094,0.0
20661600.0,295.9736328125,294.9869079589844,0.0
20662200.0,295.95147705078125,294.9575500488281,0.0
20662800.0,295.930908203125,294.9299621582031,0.0
20663400.0,295.9112243652344,294.9033203125,0.0
20664000.0,295.8924255371094,294.8776550292969,0.0
20664600.0,295.8747253417969,294.8532409667969,0.0
20665200.0,295.8591003417969,294.8310546875,0.0
20665800.0,295.8454284667969,294.81097412109375,0.0
20666400.0,295.8402099609375,294.79974365234375,0.0
20667000.0,295.8499755859375,294.8043518066406,0.0
20667600.0,295.8734436035156,294.823486328125,0.0
20668200.0,295.91400146484375,294.86065673828125,0.0
20668800.0,295.9762878417969,294.9208679199219,0.0
20669400.0,296.05914306640625,295.00286865234375,0.0
20670000.0,296.1533203125,295.0970764160156,0.0
20670600.0,296.2372131347656,295.1808776855469,0.0
20671200.0,296.3221130371094,295.2654113769531,0.0
20671800.0,296.39215087890625,295.33477783203125,0.0
20672400.0,296.4273681640625,295.3671569824219,0.0
20673000.0,296.46807861328125,295.4049987792969,0.0
20673600.0,296.4893798828125,295.422607421875,0.0
20674200.0,296.5256652832031,295.45562744140625,0.0
20674800.0,296.5782775878906,295.5059509277344,0.0
20675400.0,296.5995788574219,295.5643005371094,0.0
20676000.0,296.60760498046875,295.6268005371094,0.0
20676600.0,296.6124572753906,295.6928405761719,0.0
20677200.0,296.6134033203125,295.759765625,0.0
20677800.0,296.6101989746094,295.8277282714844,0.0
20678400.0,296.6036376953125,295.896484375,0.0
20679000.0,296.6397399902344,295.9662170410156,0.0
20679600.0,296.6979675292969,296.0376281738281,0.0
20680200.0,296.7580261230469,296.1106262207031,0.0
20680800.0,296.8193054199219,296.184814453125,0.0
20681400.0,296.88128662109375,296.2596740722656,0.0
20682000.0,296.9437255859375,296.33502197265625,0.0
20682600.0,297.0057373046875,296.4097900390625,0.0
20683200.0,297.0668029785156,296.4832458496094,0.0
20683800.0,297.1273498535156,296.5559387207031,0.0
20684400.0,297.1874084472656,296.6279602050781,0.0
20685000.0,297.2485656738281,296.7011413574219,0.0
20685600.0,297.3105163574219,296.775146484375,0.0
20686200.0,297.37213134765625,296.84881591796875,0.0
20686800.0,297.4313049316406,296.9198913574219,0.0
20687400.0,297.4867858886719,296.9871826171875,0.0
20688000.0,297.5392761230469,297.05133056640625,0.0
20688600.0,297.593505859375,297.1168518066406,0.0
20689200.0,297.6473693847656,297.181884765625,0.0
20689800.0,297.6932067871094,297.2382507324219,0.0
20690400.0,297.7338562011719,297.2889404296875,0.0
20691000.0,297.77301025390625,297.3376770019531,0.0
20691600.0,297.81060791015625,297.3846130371094,0.0
20692200.0,297.84613037109375,297.4293212890625,0.0
20692800.0,297.8812255859375,297.4736022949219,0.0
20693400.0,297.9131164550781,297.5145568847656,0.0
20694000.0,297.9402160644531,297.55059814453125,0.0
20694600.0,297.9690246582031,297.58795166015625,0.0
20695200.0,297.99481201171875,297.6217956542969,0.0
20695800.0,298.0180358886719,297.6525573730469,0.0
20696400.0,298.037841796875,297.67938232421875,0.0
20697000.0,298.0547790527344,297.70257568359375,0.0
20697600.0,298.06927490234375,297.72247314453125,0.0
20698200.0,298.08111572265625,297.73919677734375,0.0
20698800.0,298.0999450683594,297.76214599609375,0.0
20699400.0,298.1198425292969,297.7856750488281,0.0
20700000.0,298.1387634277344,297.80792236328125,0.0
20700600.0,298.1564025878906,297.8287353515625,0.0
20701200.0,298.1718444824219,297.8470153808594,0.0
20701800.0,298.1849060058594,297.8627014160156,0.0
20702400.0,298.19561767578125,297.8757629394531,0.0
20703000.0,298.20550537109375,297.88751220703125,0.0
20703600.0,298.2143249511719,297.8977355957031,0.0
20704200.0,298.2201843261719,297.9044189453125,0.0
20704800.0,298.220947265625,297.9055480957031,0.0
20705400.0,298.21563720703125,297.9003601074219,0.0
