#1 
double data(35040,2)
6.930000000000000000e+04 5.848571428571428044e+01
7.020000000000000000e+04 7.904999999999999716e+01
7.110000000000000000e+04 1.231125745092401758e+02
7.200000000000000000e+04 8.930373585039545503e+01
7.290000000000000000e+04 6.816087870753830202e+01
7.380000000000000000e+04 8.672516442182401875e+01
7.470000000000000000e+04 9.806087870753830771e+01
7.560000000000000000e+04 1.093537358503954522e+02
7.650000000000000000e+04 1.322931474781459826e+02
7.740000000000000000e+04 1.708142857142857167e+02
7.830000000000000000e+04 1.709500000000000171e+02
7.920000000000000000e+04 1.670071428571428385e+02
8.010000000000000000e+04 1.648714285714285950e+02
8.100000000000000000e+04 1.421928571428571502e+02
8.190000000000000000e+04 1.394420169436780554e+02
8.280000000000000000e+04 1.130180215646811632e+02
8.370000000000000000e+04 9.486802156468114333e+01
8.460000000000000000e+04 1.269751644218240187e+02
8.550000000000000000e+04 1.702180215646811519e+02
8.640000000000000000e+04 1.820865852915807750e+02
8.730000000000000000e+04 1.771928571428571502e+02
8.820000000000000000e+04 1.648714285714285950e+02
8.910000000000000000e+04 1.535357142857142776e+02
9.000000000000000000e+04 1.750571428571429067e+02
9.090000000000000000e+04 1.709500000000000171e+02
9.180000000000000000e+04 1.545214285714285722e+02
9.270000000000000000e+04 1.586285714285714334e+02
9.360000000000000000e+04 1.336205883722495003e+02
9.450000000000000000e+04 1.035394501361097355e+02
9.540000000000000000e+04 8.787516442182401022e+01
9.630000000000000000e+04 9.691087870753828781e+01
9.720000000000000000e+04 1.034037358503954209e+02
9.810000000000000000e+04 1.263120015403343501e+02
9.900000000000000000e+04 1.622428571428571615e+02
9.990000000000000000e+04 1.771928571428571502e+02
1.008000000000000000e+05 1.684857142857142946e+02
1.017000000000000000e+05 1.535357142857142776e+02
1.026000000000000000e+05 1.750571428571428783e+02
1.035000000000000000e+05 1.735785714285714221e+02
1.044000000000000000e+05 1.607642857142857338e+02
1.053000000000000000e+05 1.648714285714285950e+02
1.062000000000000000e+05 1.699642857142857508e+02
1.071000000000000000e+05 1.586285714285714334e+02
1.080000000000000000e+05 1.670071428571428953e+02
1.089000000000000000e+05 1.822857142857143060e+02
1.098000000000000000e+05 1.637214285714286177e+02
1.107000000000000000e+05 1.633928571428571672e+02
1.116000000000000000e+05 1.622428571428571900e+02
1.125000000000000000e+05 1.647071428571428555e+02
1.134000000000000000e+05 1.658571428571428612e+02
1.143000000000000000e+05 1.472928571428571445e+02
1.152000000000000000e+05 1.724285714285714732e+02
1.161000000000000000e+05 1.625785714285714505e+02
1.170000000000000000e+05 1.387642857142857054e+02
